dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
David328,4,complete,25.532551099997363,16.642681799989077,data\output\v2_1_multiseed\David328\seed_4\affine\David328_affine_seed4.metrics.json,affine,1000,1000,True,0,0,0,0.004586586728692055,11.525808334350586,10.486135450177752,29.125057220458984,46.1405143737793,160.084716796875,27.241007445151777,69.93859490510765,128.11529825693103,0.012702051550149918,34.694400787353516,698.5292358398438
David328,4,complete,98.18155090000073,89.15516410001146,data\output\v2_1_multiseed\David328\seed_4\spline\David328_spline_seed4.metrics.json,spline,1000,1000,True,0,0,0,0.009554073214530945,9.41122817993164,8.7897827404214,21.292198181152344,40.93970489501953,74.31036376953125,25.387283548426964,65.29815969625942,111.4648383091918,0.030091330409049988,34.694400787353516,698.5292358398438
NefertitiFace,,complete,,,data\output\v2_1_multiseed\NefertitiFace\seed_0\affine\NefertitiFace_affine_seed0.metrics.json,initial,0,0,True,0,0,0,0.0037910122498877492,5.224428653717041,5.30879698640285,7.70266580581665,10.701338768005371,14.317275047302246,13.441894780747404,34.00951904429498,59.39939984305042,0.0732501111561628,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,25.180127900006482,16.528975699999137,data\output\v2_1_multiseed\NefertitiFace\seed_0\affine\NefertitiFace_affine_seed0.metrics.json,affine,1000,1000,True,0,0,0,0.003579577896744013,4.564462661743164,4.432692175100579,5.659112930297852,6.646956920623779,8.2136812210083,9.980877588434506,25.869742431589884,61.50997572368931,0.08099524676799774,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,96.18190640000103,87.32067439999082,data\output\v2_1_multiseed\NefertitiFace\seed_0\spline\NefertitiFace_spline_seed0.metrics.json,spline,1000,1000,True,0,0,0,0.004652885254472494,4.156872272491455,4.096871732261902,4.55120849609375,4.884135723114014,5.929491996765137,5.414416780734303,15.408186134982758,32.72407721029958,0.1082986369729042,5.224428653717041,14.317275047302246
NefertitiFace,1,complete,25.397487700000056,16.588771599999745,data\output\v2_1_multiseed\NefertitiFace\seed_1\affine\NefertitiFace_affine_seed1.metrics.json,affine,1000,1000,True,0,0,0,0.003666187636554241,4.596560478210449,4.510093828855531,5.891430377960205,6.476995468139648,7.122619152069092,9.770037259476496,25.45440141886125,60.00599538920918,0.08250870555639267,5.224428653717041,14.317275047302246
NefertitiFace,1,complete,96.0022159999935,87.11960990000807,data\output\v2_1_multiseed\NefertitiFace\seed_1\spline\NefertitiFace_spline_seed1.metrics.json,spline,1000,1000,True,0,0,0,0.0037052875850349665,4.15740966796875,4.095010838809097,4.569905757904053,5.5103678703308105,6.27071475982666,5.345939048776989,15.39196726999559,39.637728675734316,0.0861949771642685,5.224428653717041,14.317275047302246
NefertitiFace,2,complete,25.438792500004638,16.509705199991004,data\output\v2_1_multiseed\NefertitiFace\seed_2\affine\NefertitiFace_affine_seed2.metrics.json,affine,1000,900,True,0,0,0,0.0029643848538398743,4.586061954498291,4.474481174133017,5.748266220092773,6.684635639190674,7.943746566772461,10.128600857007756,25.325308435644047,60.642274751005196,0.06655165553092957,5.224428653717041,14.317275047302246
NefertitiFace,2,complete,94.96721180000168,86.13956400001189,data\output\v2_1_multiseed\NefertitiFace\seed_2\spline\NefertitiFace_spline_seed2.metrics.json,spline,1000,1000,True,0,0,0,0.004619657061994076,4.133737564086914,4.08094545140789,4.541082382202148,4.807199001312256,5.26188850402832,4.995360785601723,14.77454318294901,33.62435723807369,0.10773017257452011,5.224428653717041,14.317275047302246
NefertitiFace,3,complete,25.357385199997225,16.586102400004165,data\output\v2_1_multiseed\NefertitiFace\seed_3\affine\NefertitiFace_affine_seed3.metrics.json,affine,1000,950,True,0,0,0,0.003063563723117113,4.553439617156982,4.427080192361382,5.7448601722717285,6.898215293884277,7.9906744956970215,9.809209508387186,24.51365002798832,66.24092332777157,0.06910983473062515,5.224428653717041,14.317275047302246
